EMP_10,EMP_35,EMP_45,ENV_30,ENVDVCON,PPE_05,PPE_10,PPE_15A,PPE_15B,PPE_15C,PPE_15D,PPE_15E,PPE_15F,PPE_15G,PPE_15H,PPE_15I,PPE_15J,PPE_20,PPE_25,PPE_30A,PPE_30B,PPE_30C,PPE_30D,PPE_30E,PPE_30F,PPE_30G,PPE_30H,PPE_35A,PPE_35B,PPE_35C,PPE_35D,PPE_35E,PPE_35F,PPE_35G,PPE_35H,PPE_40A,PPE_40B,PPE_40C,PPE_40D,PPE_40E,PPE_40F,PPE_40G,PPE_40H,PPE_40I,PPE_45A,PPE_45B,PPE_45C,PPE_45D,PPE_45E,PPE_45F,PPE_45G,PPE_45H,PPE_45I,PPE_50A,PPE_50B,PPE_50C,PPE_50D,PPE_50E,PPE_50F,GEN_05,GEN_20,AGEDVG4,GDRDVGRP,ISDVFLAG,PGDVFLA,IMMDVGST,Worse_MH,GEODVGPR_10,GEODVGPR_20,GEODVGPR_30,GEODVGPR_45,GEODVGPR_48,GEODVGPR_50,GEODVGPR_60,EMPDVGOC_1,EMPDVGOC_2,EMPDVGOC_3,EMPDVGOC_4,EMPDVGOC_5,EMPDVGOC_6,EMPDVGOC_7,EMPDVGOC_8,EMPDVGOC_99,EMPDVGYW_1,EMPDVGYW_2,EMPDVGYW_3,EMPDVGYW_9,ENVDVTYP_1,ENVDVTYP_2,ENVDVTYP_3,ENVDVTYP_4,ENVDVTYP_5,ENVDVTYP_6,ENVDVTYP_99,ENVDVGRW_10,ENVDVGRW_20,ENVDVGRW_30,ENVDVGRW_45,ENVDVGRW_48,ENVDVGRW_50,ENVDVGRW_60,ENVDVGRW_99
1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,2,2,1,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,6,1,1,3,4,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,2,4,4,2,2,1,2,1,2,4,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,3,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,2,2,2,1,2,2,3,2,2,2,2,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4,2,2,5,4,2,4,1,2,2,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,1,2,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,4,4,3,3,5,2,3,4,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2,1,1,2,2,3,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,5,2,2,2,1,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,4,1,1,1,1,3,3,2,1,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,1,1,2,3,1,1,2,1,2,1,1,1,1,1,2,2,1,1,2,2,3,2,3,3,2,1,2,2,2,2,2,2,3,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,4,4,4,2,3,4,4,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1,2,3,2,1,2,1,2,2,2,2,2,2,2,1,1,1,2,1,2,1,1,1,2,1,2,2,2,2,1,1,2,2,2,2,4,3,5,2,5,4,1,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,1,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,4,4,4,3,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,2,3,2,2,1,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,5,3,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,4,2,5,2,2,1,2,2,3,3,5,2,2,1,1,1,1,1,2,2,1,1,2,1,2,1,2,2,2,2,2,2,4,2,4,4,2,4,2,4,2,2,2,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,2,1,2,2,1,1,1,1,1,1,1,2,2,1,2,1,1,2,3,3,1,1,1,3,2,1,1,3,1,1,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,3,3,2,3,1,3,3,2,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,3,2,2,3,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,3,4,5,5,5,5,3,3,2,2,2,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2,1,2,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,3,1,1,1,3,3,1,1,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,4,2,6,4,3,4,3,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,6,6,1,3,3,2,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,4,3,1,3,1,3,2,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,1,1,2,2,3,3,3,3,2,2,2,2,3,2,2,3,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,4,2,2,3,5,2,2,4,4,2,2,2,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,3,3,2,3,4,2,3,2,2,2,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,4,3,2,5,2,2,2,2,2,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,3,3,2,5,3,3,3,3,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,6,6,1,4,4,2,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,3,4,3,1,5,1,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,2,1,1,2,2,2,1,2,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,6,2,6,6,3,3,2,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,2,1,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,1,6,2,3,4,2,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2,2,2,2,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,2,2,2,2,3,3,3,3,2,2,2,2,3,3,3,3,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,1,2,2,1,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,1,1,2,1,2,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2,5,3,3,1,4,1,2,2,5,3,3,1,4,1,1,1,1,1,2,1,2,1,2,1,1,1,1,2,1,2,1,2,4,4,3,3,4,2,2,4,1,2,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,3,3,2,2,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,2,4,2,4,4,2,1,2,2,4,2,4,4,2,1,1,1,2,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,3,2,4,2,3,4,4,2,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,2,2,3,1,2,3,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,4,2,2,4,2,4,4,4,4,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,4,1,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,2,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1,2,4,2,1,1,5,5,2,1,3,2,1,1,5,5,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,3,3,4,3,4,1,3,3,2,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,2,2,3,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,4,4,1,4,5,4,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,6,1,3,3,4,2,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,6,4,3,4,1,2,2,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,3,1,1,4,4,2,2,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,1,2,2,2,4,5,4,2,2,4,2,2,4,5,4,2,2,5,1,1,1,1,2,2,2,1,2,1,1,1,1,2,2,2,1,2,4,4,4,4,5,5,3,4,3,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,2,1,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,4,4,2,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,1,1,2,2,3,1,2,4,2,2,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2,2,1,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,2,5,2,2,2,2,1,2,2,5,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,2,2,2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,3,1,1,1,1,4,1,1,3,1,1,5,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,6,3,4,4,3,4,2,2,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,1,1,2,2,2,1,1,1,2,2,2,1,2,1,2,2,1,2,2,3,3,1,1,1,2,1,2,2,3,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,1,1,2,3,3,4,4,4,3,1,4,1,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,1,2,2,2,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,3,5,2,3,4,4,2,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,3,3,4,5,3,5,3,1,3,3,3,4,3,3,3,1,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,3,3,5,3,4,3,2,1,2,2,5,2,3,2,2,1,2,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,2,2,2,2,4,2,5,2,3,5,4,2,2,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,3,1,4,2,1,2,1,2,2,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,3,2,3,3,2,3,2,2,3,2,2,2,2,3,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,1,1,1,5,2,2,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2,1,2,2,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,2,5,2,2,2,2,2,2,2,5,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,4,4,5,2,3,4,3,2,2,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,2,1,2,2,2,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,4,1,2,2,4,2,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,1,2,2,1,1,2,1,1,1,1,1,2,1,2,2,1,1,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,4,2,3,3,3,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,3,2,3,2,2,2,3,3,3,2,3,1,1,2,1,1,2,2,1,2,1,1,2,2,2,2,2,1,2,4,5,5,4,3,5,3,4,1,1,2,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,1,1,1,2,1,1,1,1,2,1,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,4,1,4,4,6,2,1,3,2,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,2,2,3,2,4,2,2,2,2,2,3,2,4,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,5,4,4,5,5,2,4,2,2,2,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,1,3,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,4,2,2,2,2,2,2,2,4,2,2,2,2,2,1,1,1,1,2,1,2,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,4,5,1,3,2,2,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,3,3,4,5,2,3,2,2,3,3,4,5,2,3,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,3,3,3,4,3,4,1,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,5,1,1,3,3,2,2,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,6,6,1,3,4,2,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,3,2,1,2,2,2,2,2,3,2,1,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,4,3,5,2,2,4,2,2,2,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,2,1,1,1,1,1,1,2,2,1,2,1,1,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,3,2,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,4,1,1,4,4,2,1,1,2,1,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,3,3,4,1,3,1,2,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,2,3,1,2,1,1,1,2,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,2,4,1,2,2,2,2,2,2,3,1,1,1,2,2,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,4,4,4,5,5,5,1,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,4,5,4,3,3,3,1,3,3,3,3,3,3,3,1,1,1,2,1,2,2,1,1,2,2,1,2,1,2,2,1,1,2,2,2,3,2,4,3,4,4,3,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2,2,3,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,2,2,3,3,2,1,2,2,2,3,4,4,3,1,1,1,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,3,4,4,2,1,3,3,1,2,2,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,2,2,2,4,3,2,5,3,3,2,2,4,3,3,5,3,3,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,2,4,4,4,3,5,3,3,4,1,2,2,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
